,Country of Origin,Variety,Mean Altitude (m),Harvest Year,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Total Cup Points,Moisture,Color,Quakers,Total_Defects,Coffee_Grade
111,Guatemala,Bourbon,1600.0,2020,Natural / Dry,7.58,7.83,7.5,7.75,7.5,7.58,10.0,10.0,10.0,7.67,83.42,10.0,Green,0,5,Premium
112,Brazil,Catuai,1000.0,2020,Pulped natural / honey,7.58,7.5,7.58,7.75,7.5,7.67,10.0,10.0,10.0,7.75,83.33,11.5,Green,0,5,Premium
113,Colombia,Caturra,1650.0,2021,Washed / Wet,7.58,7.5,7.5,7.83,7.67,7.67,10.0,10.0,10.0,7.58,83.33,11.5,Green,0,2,Specialty
114,El Salvador,Bourbon,1300.0,2021,Washed / Wet,7.5,7.67,7.5,7.67,7.67,7.75,10.0,10.0,10.0,7.58,83.33,11.6,Green,0,2,Specialty
115,Brazil,Other,1100.0,2020,Natural / Dry,7.67,7.75,7.67,7.58,7.5,7.58,10.0,10.0,10.0,7.5,83.25,11.5,Blue-Green,1,3,Premium
116,Guatemala,Bourbon,982.5,2020,Washed / Wet,7.58,7.75,7.5,7.58,7.67,7.58,10.0,10.0,10.0,7.58,83.25,10.3,Green,1,4,Premium
117,Costa Rica,Caturra,1850.0,2021,Washed / Wet,7.75,7.42,7.42,7.75,7.75,7.67,10.0,10.0,10.0,7.5,83.25,9.9,Green,2,2,Premium
118,Costa Rica,Caturra,1850.0,2021,Washed / Wet,7.75,7.42,7.42,7.75,7.75,7.67,10.0,10.0,10.0,7.5,83.25,9.9,Green,2,2,Premium
119,Guatemala,Bourbon,1500.0,2020,Natural / Dry,7.5,7.83,7.42,7.58,7.58,7.67,10.0,10.0,10.0,7.67,83.25,10.0,Green,2,8,Premium
120,Colombia,Caturra,1700.0,2019,Washed / Wet,7.58,7.58,7.42,7.58,7.75,7.58,10.0,10.0,10.0,7.67,83.17,12.0,Green,0,0,Specialty
121,Vietnam,Catimor,1040.0,2020,Washed / Wet,7.58,7.5,7.42,7.67,7.67,7.75,10.0,10.0,10.0,7.58,83.17,11.9,Blue-Green,0,0,Specialty
122,Guatemala,Caturra,1600.0,2021,Washed / Wet,7.5,7.67,7.5,7.58,7.75,7.5,10.0,10.0,10.0,7.67,83.17,10.5,Green,1,16,Exchange
123,Guatemala,Bourbon,1400.0,2020,Natural / Dry,7.58,7.83,7.42,7.58,7.5,7.58,10.0,10.0,10.0,7.67,83.17,10.0,Green,1,5,Premium
124,Guatemala,Bourbon,1800.0,2020,Natural / Dry,7.5,7.67,7.5,7.5,7.58,7.58,10.0,10.0,10.0,7.83,83.17,11.0,Green,0,4,Premium
125,Peru,Caturra,1550.0,2020,Washed / Wet,7.67,7.42,7.58,7.42,7.75,7.67,10.0,10.0,10.0,7.58,83.08,11.5,Green,0,2,Specialty
126,Costa Rica,Caturra,1850.0,2021,Washed / Wet,7.5,7.83,7.42,7.67,7.5,7.58,10.0,10.0,10.0,7.58,83.08,10.0,Green,3,5,Premium
127,Thailand,Java,1420.0,2021,Pulped natural / honey,7.83,7.75,7.58,7.67,7.58,7.5,9.33,10.0,10.0,7.83,83.08,10.0,Green,0,2,Specialty
128,Costa Rica,Caturra,1850.0,2020,Washed / Wet,7.75,7.67,7.25,7.58,7.67,7.58,10.0,10.0,10.0,7.58,83.08,10.0,Green,0,0,Specialty
129,Guatemala,Bourbon,1500.0,2020,Natural / Dry,7.58,7.75,7.25,7.58,7.5,7.58,10.0,10.0,10.0,7.67,82.92,10.0,Green,1,7,Premium
130,Honduras,Caturra,1450.0,2020,Washed / Wet,7.67,7.5,7.33,7.58,7.67,7.58,10.0,10.0,10.0,7.5,82.83,11.0,Green,0,2,Specialty
