,Mean Altitude (m),Harvest Year,Moisture,Country of Origin_Brazil,Country of Origin_Colombia,Country of Origin_Costa Rica,Country of Origin_Ethiopia,Country of Origin_Guatemala,Country of Origin_Other,Variety_Bourbon,Variety_Catuai,Variety_Caturra,Variety_Other,Variety_SL28,Processing Method_Natural / Dry,Processing Method_Other,Processing Method_Pulped natural / honey,Processing Method_Washed / Wet,Color_Blue-Green,Color_Green,Color_Greenish,Color_None,Color_Yellow-Green
125,1550.0,2020,11.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
126,1850.0,2021,10.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
127,1420.0,2021,10.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
128,1850.0,2020,10.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
129,1500.0,2020,10.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
130,1450.0,2020,11.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
131,1600.0,2021,10.8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
132,1700.0,2019,11.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
133,1400.0,2020,11.9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
134,1700.0,2020,12.3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
135,900.0,2020,11.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
136,1100.0,2021,11.5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
137,1574.0,2020,10.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
138,1850.0,2021,9.9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
139,1500.0,2019,10.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
140,1200.0,2020,12.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
141,1350.0,2021,11.6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
142,1650.0,2021,9.9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
143,1200.0,2020,10.5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
144,1100.0,2021,12.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
145,1250.0,2021,11.5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
146,1550.0,2020,12.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
147,1200.0,2021,10.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
148,1150.0,2020,11.5,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
149,1150.0,2020,11.5,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
